gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
DDB_G0267178	18.19546	-0.09712418	0.38741539	0.5505943	0.7347337
DDB_G0267180	23.11816	0.1739469	0.50483778	0.2932629	0.4974444
DDB_G0267182	124.1576	0.2768337	0.49552828	0.1486	0.3181789
DDB_G0267184	12.9091	0.05554479	0.36608333	0.7288913	0.8573403
DDB_G0267188	39.75294	-0.6502435	0.54672825	0.01371825	0.05667619
DDB_G0267190	0.2828123	-0.03217365	0.61064959	0.7247342	NA
DDB_G0267194	6.174171	-0.03172482	0.40519677	0.8367311	0.9170455
DDB_G0267196	10.22142	0.2553269	0.45227862	0.1745036	0.3543291
DDB_G0267198	5.024513	-0.06571155	0.39608948	0.677547	0.8229493
DDB_G0267200	1.31386	0.09718825	0.55854022	0.4648595	NA
DDB_G0267206	8.24092	0.1782554	0.45332142	0.2988678	0.5036658
DDB_G0267208	14.66477	0.1322299	0.42738672	0.4215523	0.6297325
DDB_G0267210	322.8514	-0.02390821	0.34150275	0.8814899	0.9392788
DDB_G0267212	24.58007	0.03882942	0.34727887	0.808974	0.9014003
DDB_G0267214	0.5593228	0.03779055	0.61142127	0.6822481	NA
DDB_G0267216	2.229951	0.2000941	0.57818151	0.2213579	NA
DDB_G0267222	8.624927	0.3040038	0.50153958	0.1239984	0.2806946
DDB_G0267224	0.8928151	0.2041257	0.68848388	0.149725	NA
DDB_G0267226	3.412134	0.4050435	0.70301438	0.06207584	0.17217
DDB_G0267228	8.394492	0.844224	1.34255798	0.004949982	0.02641239
DDB_G0267230	49.96452	0.414466	0.7344443	0.05734539	0.1624042
DDB_G0267234	7.06718	0.1275707	0.43633892	0.4329899	0.6391999
DDB_G0267236	18919.8	-1.780133	0.139367	6.183884e-39	4.65028e-36
DDB_G0267238	3498.141	-1.420881	0.16988584	4.889907e-19	1.282748e-16
DDB_G0267240	109.9742	-0.1656418	0.27531012	0.3162324	0.5218112
DDB_G0267242	52.76102	-0.1484673	0.3973198	0.3818226	0.5906417
DDB_G0267244	313.1708	0.0973328	0.35759767	0.5547528	0.7377608
DDB_G0267246	60.5779	-0.1713597	0.37121983	0.3252803	0.5315315
DDB_G0267248	19.81589	-0.1967066	0.40766414	0.2683897	0.4709032
DDB_G0267250	25.78073	0.2669602	0.31137838	0.1394035	0.3053935
DDB_G0267252	66.7407	-0.0524813	0.34153142	0.745467	0.8649567
DDB_G0267258	183.2067	-0.2640276	0.40917475	0.1636724	0.3392567
DDB_G0267260	61.71557	-0.1686269	0.36458358	0.3319805	0.5382268
DDB_G0267262	44.70772	-0.1867954	0.39249912	0.289539	0.4935772
