gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
DDB_G0267178	24.54089	-0.1665438	0.32224585	0.2582524	0.552219
DDB_G0267180	23.78437	-0.01671055	0.31387665	0.8952857	0.9585272
DDB_G0267182	87.51699	0.09377731	0.34867673	0.4421074	0.7008503
DDB_G0267184	10.33262	-0.2702178	0.41098502	0.07439064	0.3421389
DDB_G0267188	28.15945	0.02127737	0.32959643	0.8600309	0.9402995
DDB_G0267190	1.173259	0.05665732	0.41511526	0.3408441	NA
DDB_G0267194	11.27788	0.04460657	0.35196546	0.6843275	0.8494396
DDB_G0267196	115.6659	-3.026941	1.02815414	1.055421e-06	0.0003106107
DDB_G0267198	12.52919	-0.1579699	0.40508001	0.1635949	0.4575428
DDB_G0267200	0.7497428	0.002318827	0.40480714	0.9648323	NA
DDB_G0267206	13.04379	0.03496128	0.34063057	0.7626342	0.8886744
DDB_G0267208	5.4552	-0.1870285	0.42530263	0.1086857	NA
DDB_G0267210	163.8634	0.01974594	0.31463156	0.8762789	0.9471395
DDB_G0267212	26.5477	0.03480449	0.3352949	0.7695019	0.8918691
DDB_G0267214	0.7435726	0.00475107	0.40354834	0.9302619	NA
DDB_G0267216	4.284464	0.1085164	0.4182636	0.1974494	NA
DDB_G0267222	5.371354	0.0217094	0.34968938	0.8415028	NA
DDB_G0267224	1.663455	0.04304652	0.38527046	0.5991042	NA
DDB_G0267226	0.9594533	-0.05440958	0.40522722	0.4185708	NA
DDB_G0267228	10.53633	0.05493028	0.38737447	0.5109309	0.7452153
DDB_G0267230	15.96346	-0.01460984	0.3479077	0.893713	0.9577789
DDB_G0267232	0.5774248	-0.02171364	0.40726524	0.6801283	NA
DDB_G0267234	3.782024	0.03562859	0.3702305	0.7042975	NA
DDB_G0267236	72552.15	-0.5617066	0.42815065	0.008343308	0.1304883
DDB_G0267238	10034.09	-0.6751328	0.40877576	0.003112561	0.08099142
DDB_G0267240	145.3629	-0.6443688	0.49668118	0.004002318	0.09219274
DDB_G0267242	33.34687	-0.2095321	0.32445979	0.1778073	0.4716431
DDB_G0267244	157.6555	-0.204775	0.3781903	0.1486456	0.443384
