gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
DDB_G0267178	2.85711	0.05782448	0.41971233	0.5237189	NA
DDB_G0267180	5.782272	0.8360997	1.21932141	0.002499242	0.03135926
DDB_G0267182	21.59701	1.736006	1.53208086	0.000321133	0.006164382
DDB_G0267184	1.666035	-0.001932578	0.43669105	0.9793584	NA
DDB_G0267188	1.761634	0.06314161	0.43562065	0.4740819	NA
DDB_G0267194	2.001974	0.0610648	0.41736589	0.5077117	NA
DDB_G0267196	2.723486	0.09280349	0.43078532	0.3525961	NA
DDB_G0267198	2.205523	-0.02402578	0.37144861	0.7977459	NA
DDB_G0267200	0.5224166	0.003651389	0.47354757	0.9477991	NA
DDB_G0267202	0.3908853	-0.008234964	0.47472401	0.8818008	NA
DDB_G0267206	3.178015	-0.1059401	0.41977146	0.317861	NA
DDB_G0267208	1.011062	0.06032662	0.45317228	0.4598586	NA
DDB_G0267210	26.57934	0.5558486	0.73905474	0.01521183	0.1169672
DDB_G0267212	2.761911	0.1666425	0.52755332	0.1374929	NA
DDB_G0267214	1.076585	0.002795458	0.44677811	0.9682902	NA
DDB_G0267216	1.064954	-0.0718237	0.47943614	0.3502704	NA
DDB_G0267222	3.478015	0.07767129	0.39452889	0.4416432	0.7660541
DDB_G0267224	0.4673591	-0.0241919	0.46681146	0.7014341	NA
DDB_G0267226	0.5369491	0.01440075	0.47487003	0.7977842	NA
DDB_G0267228	2.74045	0.1501252	0.55321018	0.1214863	NA
DDB_G0267230	203.2974	-0.146755	0.50557799	0.1714681	0.4986078
DDB_G0267232	0.650822	-0.02586844	0.47703463	0.6543444	NA
DDB_G0267234	2.28964	-0.01397068	0.36113709	0.8823929	NA
DDB_G0267236	9565.786	-1.023461	0.20617706	2.469119e-08	2.022189e-06
DDB_G0267238	1871.441	-1.024738	0.17701197	2.983212e-10	3.989574e-08
DDB_G0267240	28.21146	0.1607042	0.33816968	0.1912863	0.527385
DDB_G0267242	3.433872	0.2251259	0.58887977	0.07926357	0.3302128
DDB_G0267244	29.54395	0.08060734	0.30041142	0.4502321	0.7690969
DDB_G0267246	4.052462	0.1098308	0.42679251	0.3019593	0.6490743
DDB_G0267248	1.380064	0.09398524	0.48021118	0.2846109	NA
DDB_G0267250	35.1095	-0.04533848	0.29450019	0.6560554	0.8790394
DDB_G0267252	1330.221	-1.190169	1.12603739	0.001629322	0.02276956
DDB_G0267258	14.94412	0.6641829	0.78835451	0.009711093	0.08535582
DDB_G0267260	3.288994	0.09170132	0.4330477	0.3543346	0.6969595
DDB_G0267262	1.6903	0.102002	0.4776077	0.27052	NA
DDB_G0267264	0.110798	-0.01885898	0.47753345	0.7340301	NA
DDB_G0267272	0.9380382	-0.001755463	0.42483358	0.9823146	NA
DDB_G0267274	1.061602	0.1062231	0.5137317	0.2021548	NA
DDB_G0267282	3.898885	-0.2128282	0.54718919	0.1006223	0.3749823
DDB_G0267286	0.7234735	-0.04798659	0.46845677	0.4960343	NA
DDB_G0267292	810.3546	1.764181	0.30147003	3.110051e-10	4.107211e-08
DDB_G0267294	1789.062	0.08077169	0.50365795	0.2614462	0.6068055
DDB_G0267296	228.405	0.04578487	0.19530621	0.6544412	0.8785478
DDB_G0267300	7.216692	0.0227883	0.30687005	0.8186519	0.9461909
DDB_G0267304	12.32222	-0.04896218	0.27351043	0.6327589	0.8690975
DDB_G0267306	4.440899	-0.01326186	0.34779048	0.8901226	0.9694995
DDB_G0267308	0.2910385	0.02095952	0.47762889	0.7081275	NA
DDB_G0267310	63.601	-0.02870562	0.24508201	0.7760716	0.9329992
DDB_G0267314	33.38248	0.08346342	0.23417488	0.4329126	0.7613986
DDB_G0267318	0.4156216	-0.00489098	0.47376354	0.9300334	NA
DDB_G0267320	0.6504336	-0.02584738	0.47703536	0.6545681	NA
DDB_G0267322	1.751299	0.02804191	0.39429701	0.7555054	NA
DDB_G0267324	0.9663559	0.0005435041	0.44557566	0.9938784	NA
DDB_G0267326	5.945502	0.1471007	0.43540947	0.2118942	0.5526254
DDB_G0267328	7.845546	0.1139987	0.34896365	0.3126075	0.6604075
DDB_G0267330	3.667167	0.1467533	0.53640957	0.1410283	0.4508212
DDB_G0267332	2.526966	-0.08705007	0.40943594	0.391254	NA
DDB_G0267334	2.281417	0.1396209	0.54224255	0.1372663	NA
DDB_G0267336	1.782692	-0.01275636	0.38666696	0.8873912	NA
DDB_G0267342	14.28061	-0.01775066	0.32664971	0.8563273	0.9592337
DDB_G0267344	5.915835	-0.04750542	0.33844005	0.6358022	0.8703446
DDB_G0267346	2.724358	-0.01301961	0.37022868	0.8887318	NA
DDB_G0267350	0.3100884	0.0202031	0.47738255	0.7179745	NA
DDB_G0267352	88.86036	-0.007682361	0.19865865	0.9392193	0.9851057
DDB_G0267354	789.5833	-0.8454176	0.23422053	6.228097e-06	0.0002392722
DDB_G0267356	1844.495	1.196509	0.74824574	0.001006325	0.01584474
DDB_G0267358	155.4078	0.09215661	0.53918657	0.1555867	0.4737098
DDB_G0267360	1.278453	0.05274667	0.49707422	0.367959	NA
DDB_G0267362	333.2357	0.3968752	0.89269841	0.01090726	0.09196746
DDB_G0267366	205.9193	0.8182129	0.80258224	0.005286702	0.055301
DDB_G0267368	1347.7	0.6451587	0.88732295	0.009364033	0.08378053
DDB_G0267370	249.6779	-0.3758181	0.25002631	0.008911337	0.08095295
DDB_G0267372	90.09779	0.1035615	0.42986113	0.3183526	0.6652481
DDB_G0267374	6277.118	-0.2357945	0.11819538	0.01156477	0.0964387
DDB_G0267376	764.0319	0.03445843	0.18225465	0.7345042	0.9170452
DDB_G0267378	2.023435	0.04802773	0.39569791	0.6071002	NA
DDB_G0267380	9800.435	-0.1959894	0.14500065	0.05811267	0.2775589
DDB_G0267382	38316.1	-0.4587363	0.1607659	0.0001128137	0.002553211
DDB_G0267384	851.4528	0.08440355	0.13063753	0.3835709	0.7199194
DDB_G0267386	11165.53	-0.1856014	0.17163381	0.09181497	0.3568893
DDB_G0267388	313.9912	0.1891871	0.19069247	0.09737532	0.3684707
DDB_G0267390	3402.785	-0.007704522	0.12932959	0.9359683	0.9845038
DDB_G0267392	248.392	-0.1176985	0.14988995	0.2499944	0.5936595
