gene_id	WT1_vegetativ	WT2_vegetativ	WT3_vegetativ	D1_vegetativ	D2_vegetativ	D3_vegetativ
DDB_G0267178	5.4986683	5.62077281	5.39619983	5.50044017	5.95430202	5.20249694
DDB_G0267180	5.20249694	5.20249694	5.39619983	5.71674061	6.28528119	5.85102995
DDB_G0267182	5.62061751	5.20249694	5.47622922	5.56707929	7.3439472	6.3733013
DDB_G0267184	5.20249694	5.49877869	5.63434117	5.20249694	5.73707542	5.20249694
DDB_G0267188	5.62061751	5.20249694	5.20249694	5.62311022	5.58157579	5.5160544
DDB_G0267194	5.20249694	5.62077281	5.39619983	5.41336146	5.73707542	5.5643259
DDB_G0267196	5.4986683	5.62077281	5.20249694	5.56707929	5.7993338	5.60677107
DDB_G0267198	5.71370344	5.49877869	5.47622922	5.41336146	5.58157579	5.5643259
DDB_G0267200	5.20249694	5.49877869	5.20249694	5.50044017	5.20249694	5.20249694
DDB_G0267202	5.4986683	5.20249694	5.20249694	5.41336146	5.20249694	5.20249694
DDB_G0267206	5.79177542	5.62077281	5.71270866	5.50044017	5.20249694	5.64507003
DDB_G0267208	5.4986683	5.20249694	5.20249694	5.41336146	5.58157579	5.45868301
DDB_G0267210	6.12492577	5.79199281	5.86808896	5.7952645	7.15063328	6.73185912
DDB_G0267212	5.20249694	5.20249694	5.53749911	5.56707929	5.7993338	5.7723869
DDB_G0267214	5.62061751	5.20249694	5.20249694	5.41336146	5.58157579	5.20249694
DDB_G0267216	5.20249694	5.62077281	5.53749911	5.20249694	5.47093056	5.20249694
DDB_G0267222	5.62061751	5.20249694	5.63434117	5.62311022	5.90671814	5.5643259
DDB_G0267224	5.4986683	5.20249694	5.39619983	5.20249694	5.20249694	5.38376669
DDB_G0267226	5.20249694	5.20249694	5.39619983	5.20249694	5.58157579	5.20249694
DDB_G0267228	5.20249694	5.49877869	5.20249694	5.20249694	5.95430202	5.7128769
DDB_G0267230	8.64530966	8.78622103	8.59710863	5.20249694	7.73486455	6.88309119
DDB_G0267232	5.20249694	5.62077281	5.20249694	5.41336146	5.20249694	5.20249694
DDB_G0267234	5.62061751	5.62077281	5.47622922	5.62311022	5.47093056	5.5160544
DDB_G0267236	13.79705177	13.64717622	13.5866412	12.725792	12.72002405	12.27287687
DDB_G0267238	11.5216755	11.36541839	11.14858504	10.32618047	10.30971303	10.30387568
DDB_G0267240	6.32318848	6.12525948	6.29013114	6.94635434	6.04074263	6.55720738
DDB_G0267242	5.4986683	5.49877869	5.20249694	5.56707929	5.7993338	5.89825162
