gene_id	WT1_FB	WT2_FB	WT3_FB	D1_FB	D2_FB	D3_FB
DDB_G0267178	5.64633997	5.98268674	5.74977395	5.15895836	5.28847747	5.85768574
DDB_G0267180	5.78346801	5.50947791	5.6234048	5.19992887	5.02125693	6.22355414
DDB_G0267182	6.41905219	6.4901528	6.71944839	6.11771481	5.44473985	8.20868371
DDB_G0267184	5.59694778	5.3305424	4.89529666	4.86774954	4.82566547	4.57225764
DDB_G0267188	5.8259842	5.86486116	5.36330721	5.02475389	5.18250375	6.58524047
DDB_G0267190	3.91680655	4.1994452	3.91680655	4.39868913	3.91680655	4.71622229
DDB_G0267194	5.09731926	5.02195044	4.96013701	4.25833712	5.14460479	5.72378481
DDB_G0267196	7.36399936	8.21122454	8.12376065	4.86774954	4.56468892	5.85768574
DDB_G0267198	5.2455734	5.46733132	5.6234048	4.6735707	3.91680655	5.26915888
DDB_G0267200	3.91680655	3.91680655	4.44692669	4.25833712	3.91680655	4.38225558
DDB_G0267206	5.31242629	4.95358143	5.13090943	5.11624609	4.47905095	5.81463291
DDB_G0267208	4.81949833	5.30599764	4.74817261	4.39868913	4.70706476	3.91680655
DDB_G0267210	7.67743565	7.37060168	7.54498914	6.74367246	6.30760174	8.68586713
DDB_G0267212	5.01387244	5.75188233	5.91796684	5.38373266	4.92894343	6.50991605
DDB_G0267214	3.91680655	3.91680655	4.44692669	4.25833712	4.37683645	3.91680655
DDB_G0267216	3.91680655	3.91680655	4.66240895	4.59519653	4.47905095	5.33703162
DDB_G0267222	4.92212665	4.54484613	4.66240895	4.50564146	4.47905095	5.19663198
DDB_G0267224	4.56022371	4.1994452	3.91680655	4.25833712	4.47905095	4.57225764
DDB_G0267226	4.37364012	4.1994452	4.44692669	3.91680655	3.91680655	4.38225558
DDB_G0267228	5.01387244	4.75427135	4.74817261	4.25833712	3.91680655	6.12415924
DDB_G0267230	5.64633997	5.17394006	5.23014785	4.25833712	5.21904088	5.85768574
DDB_G0267232	4.37364012	4.31588391	3.91680655	3.91680655	4.2427828	3.91680655
DDB_G0267234	3.91680655	4.40480453	4.89529666	4.6735707	4.37683645	4.94049108
DDB_G0267236	16.81207703	16.74180805	16.45651469	14.12952961	15.14253041	16.02783155
DDB_G0267238	14.07378392	13.69702802	13.6568257	11.72742947	12.11941438	13.15251287
DDB_G0267240	7.91605922	8.0774544	7.92927459	5.80448371	6.2010087	7.29647305
DDB_G0267242	6.27917779	6.07760665	5.86436667	5.48083378	5.41520052	6.05346057
DDB_G0267244	7.5996019	8.16214365	8.02409164	6.06086396	5.79505095	7.9823998
DDB_G0267246	5.90692451	5.68236255	5.48204822	5.11624609	4.63967762	6.01661854
