gene_id	WT1_aggregat	WT2_aggregat	WT3_aggregat	D1_aggregat	D2_aggregat	D3_aggregat
DDB_G0267178	6.55072696	6.60605122	6.40237683	5.82414251	6.68446307	6.29998642
DDB_G0267180	6.3121861	6.32333148	6.3285666	5.56494386	7.36166034	6.37567205
DDB_G0267182	7.32769763	7.18123309	7.22748231	6.1956676	8.7218637	8.0950406
DDB_G0267184	6.33974588	6.12436656	6.34394477	5.93101645	6.59365185	6.33884199
DDB_G0267188	7.22520558	6.99505145	7.0514693	6.08127852	6.7672408	6.53713577
DDB_G0267190	5.56494386	5.56494386	5.8376816	5.56494386	5.56494386	5.56494386
DDB_G0267194	6.07561831	6.19815622	6.03594869	5.56494386	6.21315533	6.11541198
DDB_G0267196	5.86080485	6.1624658	6.19082341	6.1956676	6.23916104	6.53713577
DDB_G0267198	6.07561831	6.12436656	6.00922858	5.82414251	6.15749343	5.91435159
DDB_G0267200	5.77433213	5.77752058	5.56494386	5.93101645	5.56494386	5.91435159
DDB_G0267206	5.92698267	6.19815622	5.98073777	6.14146574	5.94127695	6.53713577
DDB_G0267208	6.25346311	6.23182562	6.26335886	5.82414251	6.86780852	6.29998642
DDB_G0267210	8.73146718	8.81066425	8.64240187	6.79853643	9.22376978	8.90038615
DDB_G0267212	6.64826387	6.54402233	6.46958985	6.01269398	6.90311457	6.67252272
DDB_G0267214	5.56494386	5.56494386	5.72256525	5.56494386	5.56494386	5.91435159
DDB_G0267216	5.86080485	5.77752058	5.56494386	5.82414251	5.94127695	6.05788816
DDB_G0267222	5.98262777	6.03858008	6.06118445	5.93101645	6.31139188	6.50733268
DDB_G0267224	5.56494386	5.56494386	5.56494386	5.82414251	5.89108776	5.81231358
DDB_G0267226	5.86080485	5.77752058	5.72256525	5.93101645	5.98540139	6.21471874
DDB_G0267228	5.77433213	5.56494386	5.56494386	5.56494386	6.1859863	6.85526459
DDB_G0267230	6.28347352	6.54402233	6.24599977	5.56494386	6.90311457	8.21830281
DDB_G0267234	6.11606239	5.93247605	6.03594869	5.93101645	5.94127695	6.50733268
DDB_G0267236	14.93143372	14.7269283	14.88117816	12.88134178	13.08667079	13.18296468
DDB_G0267238	12.46002507	12.21471391	12.37630634	10.87766521	10.74579958	11.13519422
DDB_G0267240	7.72769872	7.63458775	7.77131012	6.976219	7.81259875	7.45429562
DDB_G0267242	7.12467587	7.16972275	7.24549079	6.01269398	7.37705457	6.67252272
DDB_G0267244	8.56393564	8.43733913	8.40847775	6.976219	8.66174498	9.65502517
DDB_G0267246	7.34718901	7.13448916	7.33167116	6.1956676	7.36938165	6.93558364
DDB_G0267248	6.62958976	6.58585999	6.60045453	5.82414251	6.56121311	6.41074295
DDB_G0267250	6.44058056	6.45353412	6.56670867	6.77399612	6.57758304	6.76813446
DDB_G0267252	7.34718901	7.19263084	7.19061836	7.76605744	6.7672408	6.41074295
DDB_G0267258	8.34214966	8.37024498	8.35606786	6.51862236	8.20970967	7.87281908
DDB_G0267260	7.27754854	7.12250089	7.43272711	6.41348144	7.50069799	6.64702735
DDB_G0267262	7.23586046	6.98146242	6.97862851	6.01269398	6.84358536	7.04579037
DDB_G0267264	5.86080485	5.86530204	5.98073777	5.56494386	6.02520936	5.56494386
DDB_G0267272	5.98262777	5.77752058	5.56494386	5.82414251	5.89108776	5.91435159
DDB_G0267274	5.77433213	5.77752058	5.72256525	5.56494386	5.56494386	5.91435159
DDB_G0267280	5.56494386	5.56494386	5.56494386	5.56494386	5.56494386	5.81231358
DDB_G0267282	6.39186601	6.42923065	6.38819753	6.14146574	6.21315533	6.29998642
DDB_G0267286	5.56494386	5.98895432	5.72256525	5.93101645	5.56494386	5.56494386
DDB_G0267292	11.99252881	11.72130743	11.91714038	10.98740759	11.07275586	11.32296094
DDB_G0267294	11.78150445	10.93379379	10.45785684	12.10613217	9.68805309	10.48005549
DDB_G0267296	7.56797336	7.81898563	7.73555486	7.85865319	7.52130194	7.46661363
DDB_G0267300	7.40386346	7.15809717	7.23951834	6.01269398	7.23951123	8.20436513
DDB_G0267302	5.56494386	5.56494386	5.56494386	5.56494386	5.7535101	5.56494386
DDB_G0267304	6.80151894	6.66403907	6.76198463	6.37502088	6.66993833	8.52759814
DDB_G0267306	6.25346311	6.29420856	6.41629456	5.93101645	6.72674216	6.25876295
DDB_G0267308	5.56494386	5.77752058	5.56494386	5.56494386	5.56494386	5.56494386
DDB_G0267310	6.64826387	6.78685177	6.80735414	6.66913578	6.57758304	6.95474548
DDB_G0267314	7.72769872	7.8596384	8.01741868	7.57092952	7.28162193	7.41659275
DDB_G0267316	5.56494386	5.77752058	5.78774359	5.56494386	5.89108776	5.91435159
DDB_G0267320	5.86080485	6.03858008	5.95008323	5.82414251	6.02520936	6.05788816
DDB_G0267322	7.51842564	7.6659038	7.48766893	6.37502088	6.95945414	6.69733864
DDB_G0267324	6.55072696	6.50002238	6.63296437	5.93101645	6.56121311	6.50733268
DDB_G0267326	7.79737031	7.6659038	7.91242449	6.29135695	7.80167727	7.94257876
DDB_G0267328	9.21764339	9.00711451	9.16587331	6.66913578	8.38443725	8.17605695
DDB_G0267330	7.05240732	6.98146242	7.06548031	6.01269398	7.04390713	6.69733864
DDB_G0267332	5.92698267	6.23182562	6.03594869	5.56494386	5.83142766	6.21471874
DDB_G0267334	5.77433213	5.98895432	5.91669939	5.82414251	5.98540139	6.11541198
DDB_G0267336	5.77433213	5.98895432	6.03594869	6.08127852	6.06174022	6.69733864
DDB_G0267338	5.77433213	5.77752058	5.56494386	5.82414251	5.56494386	5.56494386
DDB_G0267342	8.21882257	8.1735467	8.25586474	6.69645042	7.87629947	8.04085223
DDB_G0267344	6.03152526	5.93247605	6.12992143	6.08127852	6.06174022	6.87593013
DDB_G0267346	5.92698267	6.19815622	5.95008323	6.01269398	5.94127695	6.41074295
DDB_G0267348	5.56494386	5.56494386	5.56494386	5.56494386	5.56494386	6.05788816
DDB_G0267350	5.56494386	5.86530204	5.56494386	5.93101645	5.56494386	5.56494386
DDB_G0267352	6.83255092	6.86606755	6.67457888	7.09253381	7.16884781	7.22341547
DDB_G0267354	7.86998071	8.05196753	7.90535963	8.00886028	8.0280302	8.55505395
DDB_G0267356	9.23699919	9.48489868	9.50426698	10.16344522	13.04883997	12.42241626
DDB_G0267358	5.56494386	5.56494386	5.56494386	5.56494386	9.38534289	10.74125542
DDB_G0267360	5.56494386	5.86530204	5.56494386	5.56494386	5.98540139	5.56494386
DDB_G0267362	6.3121861	6.03858008	6.54346063	8.51518745	9.92825013	13.00635491
DDB_G0267366	7.13628646	6.89611799	7.13304065	7.52036334	9.79877455	8.70936051
DDB_G0267368	8.26277406	8.50965868	8.38376769	8.97701828	12.09483487	10.73062542
DDB_G0267370	6.73639563	7.11038568	7.06548031	6.86876594	6.99189221	7.31001118
DDB_G0267372	6.48643435	7.51853298	6.31284267	7.44049424	6.6249416	8.16888743
DDB_G0267374	12.41639791	12.49477859	12.46269487	12.06956929	12.10202951	12.03332518
DDB_G0267376	11.11853703	11.04348453	11.09662178	10.42085463	10.6867247	10.52450749
DDB_G0267378	7.32769763	7.18123309	7.4778575	6.14146574	6.15749343	6.33884199
DDB_G0267380	13.98167702	13.99312685	14.06490645	14.13441459	14.05603204	13.44724147
DDB_G0267382	15.18184007	15.09897663	15.12354955	14.32255652	14.65180055	14.44871432
DDB_G0267384	10.1338784	10.18178351	10.06794828	10.15375922	10.15053432	9.98081373
DDB_G0267386	12.8943045	12.89342539	12.95413222	13.39355781	13.10243333	12.82711757
DDB_G0267388	8.4085911	8.42857842	8.44234904	8.39325815	8.27302833	8.53864531
DDB_G0267390	11.66914435	11.55695928	11.67581184	11.66495264	11.56996222	11.48626252
DDB_G0267392	9.06070487	9.01582265	9.00072787	8.8228781	8.94436219	8.78059069
DDB_G0267394	10.29190783	10.44556101	10.56850266	11.48459219	10.93683672	11.38148889
DDB_G0267396	8.17341593	8.19453289	8.33298455	8.45234802	8.43006243	8.0950406
DDB_G0267398	12.14192155	12.0708828	12.15367778	11.21097338	11.72610397	10.5847834
DDB_G0267400	15.07178286	15.10754345	15.16979881	15.65046874	15.10768678	15.08861286
DDB_G0267402	12.74085266	12.74811755	12.91884344	13.43186694	13.09243474	13.47473045
DDB_G0267404	9.75028385	9.71519872	9.83079255	9.90156506	9.61218221	9.51015143
DDB_G0267406	11.1429707	11.13289472	11.18448207	11.15969875	11.1473153	11.02063993
DDB_G0267408	10.33834967	10.47093037	10.52148524	10.77157993	10.56154177	10.54488112
DDB_G0267410	9.64225337	9.56191092	9.50087762	9.68706583	9.81577489	10.02019507
DDB_G0267412	10.17566764	10.20969342	10.23258337	6.14146574	7.75137712	5.99236099
DDB_G0267414	8.81801547	8.91695796	8.73458372	9.19029678	8.79556677	8.53864531
DDB_G0267416	10.06545954	10.27478711	10.31444236	11.10251537	10.81558055	10.17821942
DDB_G0267418	16.42976223	16.35494268	16.37659505	16.25202758	16.11631792	15.83944963
DDB_G0267420	10.91029956	11.05190948	10.99267555	10.58110312	10.59292621	10.17124213
DDB_G0267422	10.83177172	10.65923782	10.79269617	10.71216338	10.77144564	10.8489225
DDB_G0267424	9.82866547	9.67017789	9.74565417	9.24996885	9.37653633	9.08741862
DDB_G0267426	11.40036718	11.47320461	11.40550983	11.02716049	11.15809716	11.02547854
DDB_G0267428	9.01369278	9.09735663	9.16300961	9.37239791	9.11553557	8.91730065
DDB_G0267430	8.48842724	8.70294588	8.5190696	8.46514479	8.26527118	8.78521371
DDB_G0267432	9.1297245	9.10281085	9.17300744	9.93816195	10.73965804	10.32373204
DDB_G0267434	7.37585374	7.6424883	7.63075479	7.65486971	7.50760347	8.15443454
DDB_G0267436	12.1936051	12.17831645	12.31948251	13.5434532	12.71003193	12.73238969
DDB_G0267438	11.59373049	11.62956502	11.56379955	11.85120502	11.96523243	11.71127691
DDB_G0267440	8.44698005	8.4760933	8.4327555	7.64320868	8.25747006	8.13246415
DDB_G0267442	8.56393564	8.63260094	8.56359291	8.58703987	8.56800726	8.64456772
DDB_G0267444	12.61876481	12.6491416	12.8039485	13.27055517	12.77682033	12.59403893
DDB_G0267446	9.97651837	9.94713892	10.14289338	9.44430447	9.62114441	9.04195911
