File,RT,feature,mz,mode,Intensity
01_DiSfp3.mzML,0.566415948,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,0.566415948,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,0.566415948,MPBD,195.138,pos,0.0
01_DiSfp3.mzML,0.566415948,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,0.566415948,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,0.566415948,Discoidol,223.2056,pos,0.0
01_DiSfp3.mzML,0.566415948,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,0.566415948,Leucine,132.1019,pos,0.0
01_DiSfp3.mzML,0.566415948,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,2.1472899,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,2.1472899,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,2.1472899,MPBD,195.138,pos,0.0
01_DiSfp3.mzML,2.1472899,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,2.1472899,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,2.1472899,Discoidol,223.2056,pos,0.0
01_DiSfp3.mzML,2.1472899,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,2.1472899,Leucine,132.1019,pos,0.0
01_DiSfp3.mzML,2.1472899,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,3.69489282,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,3.69489282,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,3.69489282,MPBD,195.138,pos,0.0
01_DiSfp3.mzML,3.69489282,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,3.69489282,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,3.69489282,Discoidol,223.2056,pos,0.0
01_DiSfp3.mzML,3.69489282,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,3.69489282,Leucine,132.1019,pos,0.0
01_DiSfp3.mzML,3.69489282,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,5.24525778,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,5.24525778,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,5.24525778,MPBD,195.138,pos,0.0
01_DiSfp3.mzML,5.24525778,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,5.24525778,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,5.24525778,Discoidol,223.2056,pos,0.0
01_DiSfp3.mzML,5.24525778,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,5.24525778,Leucine,132.1019,pos,0.0
01_DiSfp3.mzML,5.24525778,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,6.7934928,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,6.7934928,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,6.7934928,MPBD,195.138,pos,0.0
01_DiSfp3.mzML,6.7934928,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,6.7934928,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,6.7934928,Discoidol,223.2056,pos,0.0
01_DiSfp3.mzML,6.7934928,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,6.7934928,Leucine,132.1019,pos,0.0
01_DiSfp3.mzML,6.7934928,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,8.1753726,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,8.1753726,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,8.1753726,MPBD,195.138,pos,0.0
01_DiSfp3.mzML,8.1753726,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,8.1753726,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,8.1753726,Discoidol,223.2056,pos,0.0
01_DiSfp3.mzML,8.1753726,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,8.1753726,Leucine,132.1019,pos,0.0
01_DiSfp3.mzML,8.1753726,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,9.374601,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,9.374601,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,9.374601,MPBD,195.138,pos,48527.58984375
01_DiSfp3.mzML,9.374601,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,9.374601,Discadenine,305.1721,pos,47130.6015625
01_DiSfp3.mzML,9.374601,Discoidol,223.2056,pos,77798.6328125
01_DiSfp3.mzML,9.374601,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,9.374601,Leucine,132.1019,pos,593766.3125
01_DiSfp3.mzML,9.374601,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,10.5274806,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,10.5274806,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,10.5274806,MPBD,195.138,pos,60997.05078125
01_DiSfp3.mzML,10.5274806,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,10.5274806,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,10.5274806,Discoidol,223.2056,pos,118164.796875
01_DiSfp3.mzML,10.5274806,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,10.5274806,Leucine,132.1019,pos,62375.078125
01_DiSfp3.mzML,10.5274806,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,11.694963,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,11.694963,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,11.694963,MPBD,195.138,pos,74725.296875
01_DiSfp3.mzML,11.694963,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,11.694963,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,11.694963,Discoidol,223.2056,pos,83403.2578125
01_DiSfp3.mzML,11.694963,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,11.694963,Leucine,132.1019,pos,36189.70703125
01_DiSfp3.mzML,11.694963,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,12.8849508,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,12.8849508,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,12.8849508,MPBD,195.138,pos,63681.84375
01_DiSfp3.mzML,12.8849508,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,12.8849508,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,12.8849508,Discoidol,223.2056,pos,138810.625
01_DiSfp3.mzML,12.8849508,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,12.8849508,Leucine,132.1019,pos,79649.1171875
01_DiSfp3.mzML,12.8849508,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,14.0701968,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,14.0701968,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,14.0701968,MPBD,195.138,pos,76926.2109375
01_DiSfp3.mzML,14.0701968,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,14.0701968,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,14.0701968,Discoidol,223.2056,pos,125367.953125
01_DiSfp3.mzML,14.0701968,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,14.0701968,Leucine,132.1019,pos,113361.6640625
01_DiSfp3.mzML,14.0701968,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,15.265062,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,15.265062,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,15.265062,MPBD,195.138,pos,64520.4921875
01_DiSfp3.mzML,15.265062,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,15.265062,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,15.265062,Discoidol,223.2056,pos,140493.25
01_DiSfp3.mzML,15.265062,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,15.265062,Leucine,132.1019,pos,68638.6171875
01_DiSfp3.mzML,15.265062,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,16.4604288,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,16.4604288,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,16.4604288,MPBD,195.138,pos,74707.609375
01_DiSfp3.mzML,16.4604288,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,16.4604288,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,16.4604288,Discoidol,223.2056,pos,98927.71875
01_DiSfp3.mzML,16.4604288,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,16.4604288,Leucine,132.1019,pos,107162.2265625
01_DiSfp3.mzML,16.4604288,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,17.679291,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,17.679291,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,17.679291,MPBD,195.138,pos,71907.9765625
01_DiSfp3.mzML,17.679291,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,17.679291,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,17.679291,Discoidol,223.2056,pos,104993.3046875
01_DiSfp3.mzML,17.679291,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,17.679291,Leucine,132.1019,pos,81350.7421875
01_DiSfp3.mzML,17.679291,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,18.8602878,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,18.8602878,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,18.8602878,MPBD,195.138,pos,62387.125
01_DiSfp3.mzML,18.8602878,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,18.8602878,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,18.8602878,Discoidol,223.2056,pos,129155.828125
01_DiSfp3.mzML,18.8602878,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,18.8602878,Leucine,132.1019,pos,59356.11328125
01_DiSfp3.mzML,18.8602878,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,20.0575296,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,20.0575296,PCP,225.1121,pos,17087.412109375
01_DiSfp3.mzML,20.0575296,MPBD,195.138,pos,61519.39453125
01_DiSfp3.mzML,20.0575296,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,20.0575296,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,20.0575296,Discoidol,223.2056,pos,99824.578125
01_DiSfp3.mzML,20.0575296,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,20.0575296,Leucine,132.1019,pos,88775.140625
01_DiSfp3.mzML,20.0575296,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,21.25077,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,21.25077,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,21.25077,MPBD,195.138,pos,62864.0546875
01_DiSfp3.mzML,21.25077,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,21.25077,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,21.25077,Discoidol,223.2056,pos,118813.75
01_DiSfp3.mzML,21.25077,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,21.25077,Leucine,132.1019,pos,96186.796875
01_DiSfp3.mzML,21.25077,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,22.4758818,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,22.4758818,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,22.4758818,MPBD,195.138,pos,46512.79296875
01_DiSfp3.mzML,22.4758818,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,22.4758818,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,22.4758818,Discoidol,223.2056,pos,122393.875
01_DiSfp3.mzML,22.4758818,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,22.4758818,Leucine,132.1019,pos,61230.5703125
01_DiSfp3.mzML,22.4758818,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,23.6777538,DIF-1,307.0498,pos,0.0
