gene_id	chromosome	start	end	width	source	type	score	phase	transcript_id	gene_source	gene_biotype	transcript_source	transcript_biotype	tag	gene_name	transcript_name
DDB_G0294296	2	2782	4464	1683	ensembl	transcript	NA	NA	EAL60339	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0294294	2	5771	6097	327	ensembl	transcript	NA	NA	EAL60338	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0294292	2	8123	10250	2128	ensembl	transcript	NA	NA	EAL60337	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0294290	2	10462	13395	2934	ensembl	transcript	NA	NA	EAL60336	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271114	2	13927	15420	1494	ensembl	transcript	NA	NA	EAL71889	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271112	2	16144	18303	2160	ensembl	transcript	NA	NA	EAL71888	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271110	2	19444	19753	310	ensembl	transcript	NA	NA	EAL71887	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271096	2	20345	22738	2394	ensembl	transcript	NA	NA	EAL71880	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	atg7	atg7-1
DDB_G0295505	2	23987	24096	110	ensembl	transcript	NA	NA	DDB_G0295505-1	ena	ncRNA	ensembl	ncRNA	Ensembl_canonical	rnu6	rnu6
DDB_G0271116	2	24308	24469	162	ensembl	transcript	NA	NA	EAL71890	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271118	2	25027	25857	831	ensembl	transcript	NA	NA	EAL71891	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271108	2	28810	29948	1139	ensembl	transcript	NA	NA	EAL71886	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271120	2	30690	32971	2282	ensembl	transcript	NA	NA	EAL71892	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271122	2	33552	34772	1221	ensembl	transcript	NA	NA	EAL71893	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	ufd1	ufd1-1
DDB_G0271106	2	35093	36256	1164	ensembl	transcript	NA	NA	EAL71885	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	sod2	sod2-1
DDB_G0271124	2	37151	39100	1950	ensembl	transcript	NA	NA	EAL71894	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271104	2	39516	40537	1022	ensembl	transcript	NA	NA	EAL71884	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271126	2	40824	42647	1824	ensembl	transcript	NA	NA	EAL71895	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	plbB	plbB-1
DDB_G0271128	2	43460	44226	767	ensembl	transcript	NA	NA	EAL71896	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271102	2	44348	44558	211	ensembl	transcript	NA	NA	EAL71883	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271130	2	45087	47409	2323	ensembl	transcript	NA	NA	EAL71897	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271100	2	47597	49269	1673	ensembl	transcript	NA	NA	EAL71882	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271098	2	49746	50400	655	ensembl	transcript	NA	NA	EAL71881	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271132	2	51145	53815	2671	ensembl	transcript	NA	NA	EAL71898	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271350	2	54276	55313	1038	ensembl	transcript	NA	NA	EAL71805	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271354	2	56277	57041	765	ensembl	transcript	NA	NA	EAL71807	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271142	2	57583	57963	381	ensembl	transcript	NA	NA	EAL71701	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	proC	proC-1
DDB_G0271134	2	58680	60890	2211	ensembl	transcript	NA	NA	EAL71697	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	celA	celA-1
DDB_G0271348	2	62552	65951	3400	ensembl	transcript	NA	NA	EAL71804	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
DDB_G0271346	2	66274	67623	1350	ensembl	transcript	NA	NA	EAL71803	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	yod1	yod1-1
DDB_G0271344	2	68200	69521	1322	ensembl	transcript	NA	NA	EAL71802	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	idhA	idhA-1
DDB_G0271146	2	69676	71350	1675	ensembl	transcript	NA	NA	EAL71703	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	udkD	udkD-1
DDB_G0271356	2	72258	72959	702	ensembl	transcript	NA	NA	EAL71808	ena	protein_coding	ensembl	protein_coding	Ensembl_canonical	NA	NA
